component_id,lot_id,device_type,parameter,time_hours,value,unit,temperature_c,voltage_v,spec_min,spec_max,label,data_origin
L01-C001,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,10.367485,uA,125.0,3.3,0.0,50.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C001,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,10.623714,uA,125.0,3.3,0.0,50.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C001,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,11.634959,uA,125.0,3.3,0.0,50.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C001,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,12.630305,uA,125.0,3.3,0.0,50.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C001,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.318069,uA,125.0,3.3,0.0,20.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C001,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.689079,uA,125.0,3.3,0.0,20.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C001,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,6.14433,uA,125.0,3.3,0.0,20.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C001,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,7.771237,uA,125.0,3.3,0.0,20.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C002,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,10.573275,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C002,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,10.629881,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C002,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,10.549634,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
